	0	1	2	3	4	5	6
0	$1,599,000	736 Homer Ave, Palo Alto, CA 94301	2bed1bath660sqft2,325sqft lot	2bed	1bath	660sqft	2,325sqft lot
1	$1,098,000	280 Waverley St, Palo Alto, CA 94301	2bed1bath865sqft875sqft lot	2bed	1bath	865sqft	875sqft lot
2	$1,380,000	2585 Park Blvd Apt Z206, Palo Alto, CA 94306	2bed2.5bath1,230sqft630sqft lot	2bed	5bath	1,230sqft	630sqft lot
3	$1,790,000	101 Alma St Apt 805, Palo Alto, CA 94301	2bed2bath1,440sqft	2bed	2bath	1,440sqft	2bed2bath1,440sqft
4	$1,795,000	3109 Maddux Dr, Palo Alto, CA 94303	3bed1bath1,004sqft7,748sqft lot	3bed	1bath	1,004sqft	7,748sqft lot
5	$1,850,000	685 High St Apt 5F, Palo Alto, CA 94301	2bed3bath1,490sqft961sqft lot	2bed	3bath	1,490sqft	961sqft lot
6	$949,000	4250 El Camino Real Apt A307, Palo Alto, CA 94306	2bed1bath943sqft	2bed	1bath	943sqft	2bed1bath943sqft
7	$9,500,000	2111 Barbara Dr, Palo Alto, CA 94303	5bed5bath4,003sqft9,523sqft lot	5bed	5bath	4,003sqft	9,523sqft lot
8	$3,100,000	274 Tennessee Ln, Palo Alto, CA 94306	4bed2bath1,554sqft6,292sqft lot	4bed	2bath	1,554sqft	6,292sqft lot
9	$1,698,000	1345 Alma St, Palo Alto, CA 94301	2bed2.5bath1,295sqft630sqft lot	2bed	5bath	1,295sqft	630sqft lot
10	$3,999,888	485 Marion Ave, Palo Alto, CA 94301	4bed2bath2,066sqft5,849sqft lot	4bed	2bath	2,066sqft	5,849sqft lot
11	$875,000	4250 El Camino Real Apt A102, Palo Alto, CA 94306	1bed1bath885sqft	1bed	1bath	885sqft	1bed1bath885sqft
12	$3,100,000	4233 Los Palos Ave, Palo Alto, CA 94306	3bed2bath1,710sqft9,400sqft lot	3bed	2bath	1,710sqft	9,400sqft lot
13	$1,850,000	685 High St Apt 2C, Palo Alto, CA 94301	2bed2.5bath1,468sqft	2bed	5bath	1,468sqft	2bed2.5bath1,468sqft
14	$1,399,000	518 Everett Ave Apt A, Palo Alto, CA 94301	2bed1bath1,091sqft	2bed	1bath	1,091sqft	2bed1bath1,091sqft
15	$10,495,000	27 Crescent Dr, Palo Alto, CA 94301	4bed3.5+bath4,540sqft1.02acre lot	4bed	4bed3.5+bath4,540sqft1.02acre lot	4,540sqft	4bed3.5+bath4,540sqft1.02acre lot
16	$9,280,000	2001 Webster St, Palo Alto, CA 94301	5bed4.5+bath5,042sqft8,755sqft lot	5bed	5bed4.5+bath5,042sqft8,755sqft lot	5,042sqft	8,755sqft lot
17	$2,995,000	3894 Corina Way, Palo Alto, CA 94303	3bed2bath1,583sqft6,500sqft lot	3bed	2bath	1,583sqft	6,500sqft lot
